序号,code,name,eps,revenue,rev_yoy,营业总收入-季度环比增长,profit,profit_yoy,净利润-季度环比增长,bps,roe,ocf_ps,gross_margin,industry,ann_date,rev_yi,profit_yi,cash_ratio,小基数
9471,300014,亿纬锂能,1.57,45691465298.91,62.2015350628,20.9466,3301230562.92,105.66,28.2529,23.083164040306,7.24,-0.178494119176,14.3107269459,电池,2026-08-20,456.91,33.012,-0.11369052176815286,False
10397,600183,生益科技,1.36,19025611766.13,50.0454791459,33.6881,3286977278.33,130.42,83.8154,7.616649944865,18.17,1.228101686219,30.6922750301,元件,2026-08-15,190.26,32.87,0.9030159457492646,False
5501,000783,长江证券,0.56,7426077648.44,58.6,20.5386,3192493416.16,83.8,14.7999,6.673298864165,8.39,5.155528456767,,证券Ⅱ,2026-08-26,74.26,31.925,9.206300815655355,False
2179,000630,铜陵有色,0.22,121770119524.73,59.9535182188,-11.7907,2992592611.05,107.93,23.5857,2.83844431421,7.93,0.004056087011,9.2840039246,工业金属,2026-08-28,1217.7,29.926,0.01843675914090909,False
7890,002384,东山精密,1.62,27797683972.88,63.9481879305,11.5882,2956898811.04,290.09,66.413,13.303496414908,12.88,1.301527338391,20.1513507952,元件,2026-08-22,277.98,29.569,0.803411937278395,False
7693,601869,长飞光纤,3.56,9808962180.0,53.637732146,65.4399,2924540887.0,888.88,390.6592,19.765986121926,19.22,2.205710646491,53.3612070059,通信设备,2026-08-22,98.09,29.245,0.6195816422727528,False
5426,002463,沪电股份,1.5191,13689427504.0,61.1682833526,20.2942,2923361746.0,73.72,35.3599,9.348128834869,17.38,0.597956762782,38.7155693432,元件,2026-08-26,136.89,29.234,0.39362567492725964,False
9452,301358,湖南裕能,3.62,34877330172.01,142.915947481,33.0524,2909817706.47,853.51,14.5792,24.034836368716,17.39,-2.079666752094,14.8604117606,电池,2026-08-20,348.77,29.098,-0.5744935779265193,False
8712,002709,天赐材料,1.41,14709500811.92,109.2767908568,20.4174,2860942286.52,967.91,-27.0712,9.949974480802,15.0,0.194859968392,33.5497255866,电池,2026-08-21,147.1,28.609,0.13819855914326243,False
2822,605117,德业股份,2.14,10641096664.31,92.2349063882,38.6197,2717499513.52,78.53,28.7661,9.020957548721,24.31,3.294748721488,37.6464869312,光伏设备,2026-08-27,106.41,27.175,1.5396022063028036,False
11040,688256,寒武纪,3.68,5995573619.61,108.1331369113,7.8407,2310912080.33,122.61,28.0775,21.574993789911,18.05,0.495492800048,55.2505731603,半导体,2026-08-08,59.96,23.109,0.13464478262173912,False
10204,300390,天华新能,2.76,7780065437.36,125.0015560468,43.1156,2292289086.36,2622.89,36.5852,16.519305096007,18.34,0.214730902464,43.4926349114,电池,2026-08-18,77.8,22.923,0.07780105161739131,True
1084,000426,兴业银锡,1.2745,4281697008.56,73.1308206683,1.031,2263056168.41,184.42,-30.8213,6.498532582898,21.32,1.18986484367,68.7527609771,贵金属,2026-08-29,42.82,22.631,0.933593443444488,False
3313,002916,深南电路,3.32,15296361440.43,46.3282888807,31.9181,2251458836.99,65.55,64.8056,26.469542556032,12.43,2.204829037689,31.0149106719,元件,2026-08-27,152.96,22.515,0.6641051318340362,False
8571,600549,厦门钨业,1.3862,35014480428.15,81.6985110158,22.4106,2200748489.7,127.04,-1.164,11.773995846987,12.15,-1.551198378021,21.8280630899,小金属,2026-08-21,350.14,22.007,-1.1190292728473523,False
3351,002558,巨人网络,1.13,4688729195.66,182.0797292305,1.3614,2144304578.07,175.96,-1.5268,8.852534983323,13.22,1.090104302676,95.7899932646,游戏Ⅱ,2026-08-27,46.89,21.443,0.9646940731646019,False
6520,600909,华安证券,0.43,4006745933.45,65.2782271599,212.1281,2096652466.67,102.55,283.8265,5.436840466248,8.08,1.039544097725,,证券Ⅱ,2026-08-25,40.07,20.967,2.417544413313953,False
7584,000657,中钨高新,0.9112,16384925470.67,108.5138971279,33.8421,2076226297.96,280.53,25.4096,4.950337982052,19.29,-0.55085668715,30.3812154395,小金属,2026-08-24,163.85,20.762,-0.604539823474539,False
1948,300408,三环集团,1.01,6423331756.2,54.824030357,39.5878,1932118240.71,56.18,44.2938,11.815521176528,8.61,0.676922188645,44.3196613034,元件,2026-08-28,64.23,19.321,0.6702199887574257,False
545,601108,财通证券,0.41,4347274840.85,46.8976206673,63.2569,1899804918.0,75.38,107.8702,8.391719884201,4.91,-0.654059364689,,证券Ⅱ,2026-08-29,43.47,18.998,-1.5952667431439025,False
1888,300857,协创数据,3.8,12522564910.65,153.2889305482,5.8107,1838423990.17,325.51,45.0067,12.38679293757,34.31,3.729134221313,25.1496776886,消费电子,2026-08-28,125.23,18.384,0.9813511108718421,False
10604,688041,海光信息,0.78,9099020774.81,66.5195709856,25.5811,1798467918.03,49.69,61.7498,10.916346727968,7.56,-0.183940969266,55.2090490096,半导体,2026-08-14,90.99,17.985,-0.2358217554692308,False
7701,600918,中泰证券,0.21,7537087097.57,46.2977120194,42.6139,1752497271.3,146.38,173.675,5.682729611679,3.73,0.687744344871,,证券Ⅱ,2026-08-22,75.37,17.525,3.2749730708142857,False
4961,601878,浙商证券,0.36,5702941183.09,49.3294864637,41.7499,1610963188.53,40.21,14.4642,8.209755701521,4.31,3.419205711111,,证券Ⅱ,2026-08-26,57.03,16.11,9.497793641975,False
9522,000960,锡业股份,0.8991,31572707886.24,49.6824241355,3.0156,1503643577.31,41.6,-26.6875,13.046793505284,7.32,1.32494788563,11.2353292662,小金属,2026-08-20,315.73,15.036,1.4736379553219887,False
3356,002517,恺英网络,0.67,4796585311.53,86.0574405848,15.943,1428324820.73,50.34,-17.0147,4.909969491396,13.74,0.684620304098,76.8728249884,游戏Ⅱ,2026-08-27,47.97,14.283,1.0218213494,False
3452,000737,北方铜业,0.733,21693268701.58,69.3345237831,15.9878,1396024848.9,186.61,27.0066,4.149345941119,18.66,0.564360628542,12.7229193656,工业金属,2026-08-27,216.93,13.96,0.7699326446684857,False
6977,002074,国轩高科,0.76,27775546292.11,43.2206432636,37.2338,1386048497.18,278.05,6371.0674,16.606946690868,4.68,0.235852046221,15.6032862472,电池,2026-08-25,277.76,13.86,0.3103316397644737,False
5431,002414,高德红外,0.3164,4215505171.94,117.935374307,138.3385,1351196450.09,646.81,169.2787,1.965989699889,17.51,-0.015806113296,52.0900251426,军工电子Ⅱ,2026-08-26,42.16,13.512,-0.04995611029077117,False
